产品名称,旧的产品编号,现在产品编号,产品工厂编号
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
年利宝,100006,DE1190027,218801
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
年利宝,100006,DE1190027,218801
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
月月增,100007,DE1220035,231301
月月增,100007,DE1220035,231301
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
日日升,6001,DE1220033,231201
